timestamp,Cushion,Cycle_time,Cyl_tmp_z1,Cyl_tmp_z2,Cyl_tmp_z3,Cyl_tmp_z4,Cyl_tmp_z5,Cyl_tmp_z6,Cyl_tmp_z7,Cyl_tmp_z8,Dosage_time,Ejector_fix_deviation_torque,Extruder_start_position,Extruder_torque,Injection_pressure,Injection_time,Machine_status,Peak_pressure_position,Peak_pressure_time,Scrap_counter,Shot_counter,Shot_size,Switch_position,Switch_pressure,is_scrap,machine_id
2026-01-11 20:00:00+00:00,5.63,14.06,260.0,0.0,250.0,245.0,240.0,0.0,0.0,50.0,2.26,19.2,5.67,0.0,699.0,0.524,10000.0,7.91,0.526,1840.0,209419.0,29.99,7.99,696.0,0.0,M231
2026-01-11 20:00:00+00:00,5.29,13.15,499.9,0.0,500.0,490.8,482.0,0.0,0.0,156.3,4.09,-6.1,5.25,13.54,1250.0,0.572,,7.82,0.574,0.0,1397.0,57.5,8.0,1246.0,0.0,M612
2026-01-11 20:00:00+00:00,5.75,10.37,500.0,0.0,491.0,482.3,470.9,0.0,0.0,139.8,1.52,-4.8,5.82,27.68,873.0,0.332,,8.72,0.335,1620.0,400274.0,33.8,9.0,871.0,0.0,M607
2026-01-11 20:00:01+00:00,4.74,8.85,518.0,0.0,518.0,509.0,500.1,0.0,0.0,140.0,1.87,13.3,4.57,28.88,1154.0,0.425,,6.79,0.429,1259.0,506377.0,35.1,7.0,1145.0,0.0,M356
2026-01-11 20:00:05+00:00,5.55,10.44,545.5,0.0,536.5,536.1,527.6,0.0,0.0,174.5,2.39,-2.7,5.48,15.36,1006.0,0.551,,7.89,0.553,80.0,13612.0,50.4,8.0,1004.0,0.0,M471
2026-01-11 20:00:10+00:00,5.63,14.06,260.0,0.0,250.0,245.0,240.0,0.0,0.0,50.0,2.26,19.2,5.67,0.0,699.0,0.524,10000.0,7.91,0.526,1840.0,209419.0,29.99,7.99,696.0,0.0,M231
2026-01-11 20:00:11+00:00,4.73,8.84,518.0,0.0,518.0,509.1,500.2,0.0,0.0,140.0,1.85,13.1,4.66,29.1,1153.0,0.426,,6.79,0.429,1259.0,506378.0,35.1,7.0,1146.0,0.0,M356
2026-01-11 20:00:15+00:00,5.48,10.43,545.4,0.0,536.4,536.2,527.2,0.0,0.0,174.4,2.39,-2.5,5.54,15.56,1006.0,0.551,,7.83,0.554,80.0,13613.0,50.4,8.0,1004.0,0.0,M471
2026-01-11 20:00:20+00:00,5.78,10.38,499.9,0.0,491.0,482.5,472.3,0.0,0.0,140.0,1.52,-4.5,5.75,28.27,872.0,0.332,,8.72,0.335,1620.0,400276.0,33.8,9.0,868.0,0.0,M607
2026-01-11 20:00:20+00:00,5.63,14.06,260.0,0.0,250.0,245.0,240.0,0.0,0.0,50.0,2.26,19.2,5.67,0.0,699.0,0.524,10000.0,7.91,0.526,1840.0,209419.0,29.99,7.99,696.0,0.0,M231
